participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
20266	BHRC	1	-52	1			1		1	Pass
20270	BHRC	2	-105			1	1	0.75	0.916666667	Artifact
20271	BHRC	1	-54	1	1				1	Pass
20274	BHRC	1	-75	1	1	1	1	1	1	Pass
20279	BHRC	1	-78		1	1		1	1	Pass
20279	BHRC	2	-53	1	1				1	Pass
20284	BHRC	1	-68			1	1	0.75	0.916666667	Artifact
20284	BHRC	2	-45	1	1	1	1	1	1	Pass
20286	BHRC	1	-99		1	1		1	1	Pass
20290	BHRC	2	-67	1			1		1	Pass
20291	BHRC	1	-67	1			1		1	Pass
20292	BHRC	1	-120	1	1				1	Pass
20293	BHRC	1	-72	1	1	1	1	1	1	Pass
20293	BHRC	2	-65			1	1	1	1	Pass
20294	BHRC	1	-104	1	1				1	Pass
20295	BHRC	1	-68	1			1		1	Pass
20295	BHRC	2	-93	1	1				1	Pass
20296	BHRC	1	-56		1	1		1	1	Pass
20296	BHRC	2	-47			1	1	1	1	Pass
20298	BHRC	1	-78			1	1	1	1	Pass
20301	BHRC	1	-116	1			1		1	Pass
20302	BHRC	1	-52	1	1	1	1	1	1	Pass
20302	BHRC	2	-51	1	1				1	Pass
20303	BHRC	1	-68	1	0.75	1	1	1	0.95	Artifact
20306	BHRC	1	-72			1	1	1	1	Pass
20311	BHRC	1	-74	1	0.75				0.875	Artifact
20311	BHRC	2	-81			1	0.75	0.75	0.833333333	Artifact
20312	BHRC	1	-102	1	1				1	Pass
20320	BHRC	1	-88	1			1		1	Pass
20322	BHRC	1	-81	1			1		1	Pass
20322	BHRC	2	-64			1	1	1	1	Pass
20323	BHRC	1	-43	1			1		1	Pass
20324	BHRC	1	-75	1	1	1	1	1	1	Pass
20326	BHRC	1	-37	1	1				1	Pass
20326	BHRC	2	-32		1	1		1	1	Pass
20329	BHRC	1	-64			1	1	1	1	Pass
20329	BHRC	2	-47	1	1	1	1	1	1	Pass
20331	BHRC	2	-73	1			1		1	Pass
20332	BHRC	1	-102		1	1		1	1	Pass
20332	BHRC	2	-94	1	1				1	Pass
20336	BHRC	1	-71			1	1	1	1	Pass
20336	BHRC	2	-71			1	1	1	1	Pass
20338	BHRC	1	-73		0.75	1		1	0.916666667	Artifact
20338	BHRC	2	-52	1	1				1	Pass
20340	BHRC	1	-62			1	1	1	1	Pass
20343	BHRC	1	-118	1	1	1	1	1	1	Pass
20343	BHRC	2	-71	1	1	1	1	1	1	Pass
20350	BHRC	1	-92	1	1				1	Pass
20355	BHRC	1	-47	1			1		1	Pass
20360	BHRC	1	-84			1	1	1	1	Pass
20361	BHRC	1	-59		1	1		1	1	Pass
20361	BHRC	2	-95			1	1	0.75	0.916666667	Artifact
20365	BHRC	1	-80		1	1		1	1	Pass
20365	BHRC	2	-93	1			1		1	Pass
20366	BHRC	1	-152	1	1	1	1	1	1	Pass
20366	BHRC	2	-84			1	1	1	1	Pass
20369	BHRC	1	-84		0.75	1		0.75	0.833333333	Artifact
20369	BHRC	2	-51			1	1	1	1	Pass
